path,sha256,copyright,license_status,reuse_status,notes
src/Theme.h,a5c7c3dd7d621ba0e011f66f51f25fa31b9cee88b908edba7aaa4e089873b01c,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Track.cpp,428965ce278c205abe3fb4d16eeb4febde017ad6344cc8ef118cda433eb677e6,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Track.h,52f4b8c846cefe3c84bd30e479e1a5330107a78721ebd0dff38c6d4ed6584c5c,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TrackArc.cpp,eb006b9d63bc3002eb0997ff56ef4957bd517ae72332a46510fb973205eaffb4,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TrackArc.h,03e37e2603bd8a4e31c9f07d6bec162223269415bdc074267059b12072ed3dec,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TrackLine.cpp,62d646d4e0f2d30e14f6bbb7ad33b1af8a6f6f8106a35dd7fb1e70ce0b8d3a41,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TrackLine.h,ee63d0c02dcf14f2717d86d3b1b029ad517876679a3dfce15581e6ff55fca8d8,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TrackSection.h,a599b704ad1d8ab7ffe04a25c585e35aa5be19a9a75e1a00d8632d7c296d34a6,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TrackSpiral.cpp,9aeeaf4aa25ca06936eb2e730212a53f73779f3f7fc78f6fb290a9e226b26abf,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TrackSpiral.h,b8e0de0a5eb1e9a83fe81315f7f6fe77b3c3738e49f8dffd783e857d8d67054d,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Train.cpp,8ab4c30416119871c5e097ee0ed340ecd819cdde1b276688a4d5046c999c6273,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Train.h,9623624c6b8762eb00ce2143e2220c8c69af8f257389647500fe0b0a701a1c52,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TrainStation.cpp,e3eb4cafca011e7f2e3165aedd2626f71f0c7d298f06768b36f059b1cfa62afe,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/TrainStation.h,76928df130b80f7cb420ed3560aabc7e32685f05729e04a299f200a87a4578d0,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Window.cpp,ef47cb13f80db24b1f593a407f61691150d200abced6f9893c5a1a0a399930c2,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Window.h,a3911fdcdbdb98ce38900216a393cbf5e13e59b5b4cce4b5403642bc10cc0bed,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/WindowManager.cpp,07e75c187a90fd4e4f88ab2cc01d896f664e133c02f1135b496eab8c7f5effb8,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/WindowManager.h,31b0370559285b01d55ca3813236cc453178cce11e6c629567318eebadf52ccd,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
