frame,seq,event,label,id,value,score
573,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
574,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
574,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
577,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
592,0,CONTACT_BEGIN,flipper-right:poly,0,0,15
593,0,CONTACT_END,flipper-right:poly,0,0,15
602,0,CONTACT_BEGIN,drain,0,0,15
602,1,DRAIN,drain,0,1,15
603,0,CONTACT_BEGIN,ground,0,0,15
605,0,CONTACT_END,ground,0,0,15
614,0,RESET,ball,0,2,15
614,1,CONTACT_END,drain,0,0,15
621,0,CONTACT_BEGIN,ground,0,0,15
622,0,CONTACT_END,ground,0,0,15
625,0,CONTACT_BEGIN,ground,0,0,15
626,0,PLUNGE,ball,0,2,15
627,0,CONTACT_END,ground,0,0,15
670,0,CONTACT_BEGIN,top-right-1,0,0,15
670,1,CONTACT_BEGIN,top-right-2,0,0,15
670,2,CONTACT_BEGIN,top-right-3,0,0,15
671,0,CONTACT_END,top-right-1,0,0,15
671,1,CONTACT_END,top-right-2,0,0,15
671,2,CONTACT_END,top-right-3,0,0,15
671,3,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,15
672,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,15
672,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,15
675,0,CONTACT_BEGIN,top-right-8,0,0,15
675,1,CONTACT_BEGIN,top-right-7,0,0,15
676,0,CONTACT_END,top-right-8,0,0,15
676,1,CONTACT_END,top-right-7,0,0,15
676,2,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,15
681,0,CONTACT_BEGIN,top-right-13,0,0,15
682,0,CONTACT_BEGIN,top-right-14,0,0,15
683,0,CONTACT_BEGIN,top-right-15,0,0,15
683,1,CONTACT_END,top-right-13,0,0,15
683,2,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
684,0,CONTACT_END,top-right-14,0,0,15
684,1,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
684,2,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
685,0,CONTACT_BEGIN,top-right-16,0,0,15
685,1,CONTACT_END,top-right-15,0,0,15
686,0,CONTACT_BEGIN,top-right-17,0,0,15
687,0,CONTACT_END,top-right-16,0,0,15
688,0,CONTACT_END,top-right-17,0,0,15
688,1,CONTACT_BEGIN,top-right-18,0,0,15
688,2,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
689,0,CONTACT_BEGIN,top-right-19,0,0,15
690,0,CONTACT_END,top-right-18,0,0,15
691,0,CONTACT_END,top-right-19,0,0,15
701,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,15
702,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,15
702,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,15
705,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,15
707,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
708,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
708,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
711,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
747,0,CONTACT_BEGIN,obstacle:7,7,0,15
748,0,CONTACT_END,obstacle:7,7,0,15
767,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,15
768,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,15
768,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,15
772,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,15
779,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
780,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
780,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,15
784,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,15
796,0,CONTACT_BEGIN,sling-corner:5,5,0,15
796,1,CONTACT_BEGIN,sling-reactive:5,5,0,15
797,0,CONTACT_END,sling-reactive:5,5,0,15
797,1,HIT,sling-reactive:5,5,5,20
797,2,CONTACT_END,sling-corner:5,5,0,20
797,3,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,20
798,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,20
798,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,20
801,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,20
803,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,20
804,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,20
804,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,20
807,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,20
842,0,CONTACT_BEGIN,obstacle:7,7,0,20
843,0,CONTACT_END,obstacle:7,7,0,20
863,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,20
864,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,20
864,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,20
868,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,20
