frame,t,ball,x,y,vx,vy,leftAngle,leftOmega,rightAngle,rightOmega,score,plunged,down
153,2.566666842,1,0.343688339,0.911111951,0.625701189,-0.621199965,1.677504778,51.856075287,0.678407848,0.000000000,0,1,0
154,2.583333492,1,0.354116708,0.900426507,0.625701189,-0.641125619,1.418630958,0.000000000,0.678407848,-0.000000000,0,1,0
155,2.600000143,1,0.364545047,0.889408946,0.625701189,-0.661051273,1.319059134,0.000000000,0.678407848,0.000000000,0,1,0
156,2.616666794,1,0.374973416,0.878059387,0.625701189,-0.680976927,1.103648782,0.000000000,0.678407848,-0.000000000,0,1,0
157,2.633333445,1,0.385401785,0.866377652,0.625701189,-0.700902581,0.988394856,-7.457700253,0.678407848,0.000000000,0,1,0
158,2.650000095,1,0.395830125,0.854363799,0.625701189,-0.720828176,0.789211750,-11.264159203,0.678407848,-0.000000000,0,1,0
159,2.666666746,1,0.406258494,0.842017949,0.625701189,-0.740753829,0.571703315,-13.157641411,0.678407848,0.000000000,0,1,0
160,2.683333397,1,0.416686833,0.829339981,0.625701189,-0.760679483,0.338671327,-14.114070892,0.678407848,-0.000000000,0,1,0
161,2.700000048,1,0.427115142,0.816329837,0.625701189,-0.780605137,0.097910419,-14.591609001,0.678407848,0.000000000,0,1,0
162,2.716666698,1,0.437543482,0.802987695,0.625701189,-0.800530732,-0.146677166,-14.828408241,0.284793347,-24.282508850,0,1,0
163,2.733333588,1,0.447971821,0.789313436,0.625701189,-0.820456326,-0.393023610,-14.937321663,-0.275392860,-35.682994843,0,1,0
164,2.750000238,1,0.458400160,0.775307059,0.625701189,-0.840381920,-0.639920413,-14.971434593,-0.889458358,-39.665328979,0,1,0
165,2.766666889,1,0.468828499,0.760968566,0.625701189,-0.860307515,-0.886577129,-14.956541061,-1.677505255,-51.856098175,0,1,0
166,2.783333540,1,0.479256809,0.746298015,0.625701189,-0.880233109,-0.749537766,-0.000000000,-1.418632269,0.000000000,0,1,0
167,2.800000191,1,0.489685148,0.731295407,0.625701189,-0.900158703,-0.696938515,0.000000000,-1.319060922,-0.000000000,0,1,0
168,2.816666842,1,0.500113487,0.715960622,0.625701189,-0.920084298,-0.683235407,0.000000000,-1.103650093,-0.000000000,0,1,0
169,2.833333492,1,0.510541797,0.700293839,0.625701189,-0.940009892,-0.679665446,0.000000000,-0.988396347,7.457702637,0,1,0
