phase,frame,x,y,comx,comy,vx,vy,angle,omega,localcx,localcy
before,45,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,45,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,46,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,46,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,47,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,47,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,48,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,48,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,49,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,49,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,50,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,50,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,51,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,51,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,52,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,52,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,0.000000000,0.040217418,0.000000000
before,53,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,-0.000000000,-0.678407848,-15.000000000,0.040217418,0.000000000
after,53,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,-0.000000000,0.040217418,0.000000000
before,54,0.225999996,0.156000003,0.257312179,0.130761400,0.000000000,0.000000000,-0.678407848,50.000000000,0.040217418,0.000000000
after,54,0.225999996,0.156000003,0.264597446,0.144700557,0.612856746,0.760338485,-0.284793347,24.282508850,0.040217418,0.000000000
before,55,0.225999996,0.156000003,0.264597446,0.144700557,0.612856746,0.760338485,-0.284793347,50.000000000,0.040217418,0.000000000
after,55,0.225999996,0.156000003,0.264701962,0.166936129,0.403198242,1.377272606,0.275392801,35.682994843,0.040217418,0.000000000
before,56,0.225999996,0.156000003,0.264701962,0.166936129,0.403198242,1.377272606,0.275392801,50.000000000,0.040217418,0.000000000
after,56,0.225999996,0.155999988,0.251330256,0.187238097,-0.433784813,1.535126090,0.889458060,39.665328979,0.040217418,0.000000000
before,57,0.225999996,0.155999988,0.251330256,0.187238097,-0.433784813,1.535126090,0.889458060,50.000000000,0.040217418,0.000000000
after,57,0.225999996,0.156000003,0.228070453,0.196164101,-1.276612043,1.035175562,1.519292355,40.867153168,0.040217418,0.000000000
before,58,0.225999996,0.156000003,0.228070453,0.196164101,-1.276612043,1.035175562,1.519292355,50.000000000,0.040217418,0.000000000
after,58,0.226013333,0.156043440,0.236601025,0.194842160,0.403592199,-0.057765901,1.304395199,3.204701662,0.040217418,0.000000000
before,59,0.226013333,0.156043440,0.236601025,0.194842160,0.403592199,-0.057765901,1.304395199,50.000000000,0.040217418,0.000000000
after,59,0.226031274,0.156063810,0.242291167,0.192847729,0.000092842,-0.000143572,1.154583454,-0.009121348,0.040217418,0.000000000
before,60,0.226031274,0.156063810,0.242291167,0.192847729,0.000092842,-0.000143572,1.154583454,50.000000000,0.040217418,0.000000000
after,60,0.226041198,0.156061769,0.246987939,0.190393597,0.000000000,0.000000000,1.022964835,-0.000000000,0.040217418,0.000000000
before,61,0.226041198,0.156061769,0.246987939,0.190393597,0.000000000,0.000000000,1.022964835,-15.000000000,0.040217418,0.000000000
after,61,0.225999996,0.156000003,0.251037955,0.187472880,0.256648630,-0.156587869,0.898780406,-7.475528240,0.040217418,0.000000000
before,62,0.225999996,0.156000003,0.251037955,0.187472880,0.256648630,-0.156587869,0.898780406,-15.000000000,0.040217418,0.000000000
after,62,0.225999996,0.156000003,0.256452501,0.182269469,0.355249137,-0.282615125,0.711784601,-11.287470818,0.040217418,0.000000000
before,63,0.225999996,0.156000003,0.256452501,0.182269469,0.355249137,-0.282615125,0.711784601,-15.000000000,0.040217418,0.000000000
after,63,0.225999996,0.156000003,0.261415809,0.175056785,0.346655071,-0.401855379,0.493650526,-13.196126938,0.040217418,0.000000000
before,64,0.225999996,0.156000003,0.261415809,0.175056785,0.346655071,-0.401855379,0.493650526,-15.000000000,0.040217418,0.000000000
after,64,0.225999996,0.156000003,0.264864057,0.166345343,0.269507736,-0.500863314,0.260160059,-14.142361641,0.040217418,0.000000000
before,65,0.225999996,0.156000003,0.264864057,0.166345343,0.269507736,-0.500863314,0.260160059,-15.000000000,0.040217418,0.000000000
after,65,0.225999996,0.156000003,0.266210079,0.156767696,0.151153132,-0.567832947,0.019089786,-14.610750198,0.040217418,0.000000000
before,66,0.225999996,0.156000003,0.266210079,0.156767696,0.151153132,-0.567832947,0.019089786,-15.000000000,0.040217418,0.000000000
after,66,0.225999996,0.156000003,0.265197754,0.147001341,0.011391454,-0.596657813,-0.225660995,-14.838509560,0.040217418,0.000000000
before,67,0.225999996,0.156000003,0.265197754,0.147001341,0.011391454,-0.596657813,-0.225660995,-15.000000000,0.040217418,0.000000000
after,67,0.225999996,0.156000003,0.261819661,0.137713566,-0.134425133,-0.585549057,-0.472023606,-14.938328743,0.040217418,0.000000000
before,68,0.225999996,0.156000003,0.261819661,0.137713566,-0.134425133,-0.585549057,-0.472023606,-15.000000000,0.040217418,0.000000000
after,68,0.225999996,0.156000018,0.256267667,0.129517764,-0.273629695,-0.535988331,-0.718793213,-14.963531494,0.040217418,0.000000000
before,69,0.225999996,0.156000018,0.256267667,0.129517764,-0.273629695,-0.535988331,-0.718793213,-15.000000000,0.040217418,0.000000000
after,69,0.226001710,0.155998603,0.257046729,0.130432039,0.000000000,0.000000000,-0.688926041,-0.000000000,0.040217418,0.000000000
